material_code,material_name,supplier_code,supplier_name
"QQWB-2WB3213D","Gorgeous Steel Chair","SUPBCE56B","Runte, Dibbert and Batz"
"DLQC-93DU12UT","Incredible Fresh Pants","SUP7594F9","Kutch - Padberg"
"PRZQ-YR2S6W5T","Unbranded Steel Pizza","SUP4D9FC7","Braun Inc"
"BYYC-XJQHJDDG","Recycled Soft Mouse","SUP4D9FC7","Braun Inc"
"SKOU-XJI8MDOV","Incredible Bronze Soap","SUP00CB1D","Howell, Ward and Rowe"
"TQSB-F6J3X08T","Sleek Concrete Ball","SUP90B516","Emmerich LLC"
"TESB-XTSQJ9M4","Licensed Frozen Shirt","SUPBCE56B","Runte, Dibbert and Batz"
"TROM-I64VVI9W","Bespoke Granite Fish","SUP00CB1D","Howell, Ward and Rowe"
"AXYZ-LP0XDB7Q","Rustic Steel Cheese","SUPBCE56B","Runte, Dibbert and Batz"
"XXBA-7EIUYR0M","Fantastic Frozen Soap","SUP629EF2","Streich LLC"
"HBIC-CZZB4RRR","Incredible Frozen Fish","SUP4D9FC7","Braun Inc"
"OBZO-B01VCI02","Small Frozen Chair","SUPC659DA","Stamm - Ryan"
"MWMQ-15RMBUHK","Bespoke Cotton Car","SUP7594F9","Kutch - Padberg"
"CZCW-DD4RQA76","Electronic Cotton Pizza","SUPEA966C","Dach LLC"
"AQCP-WA4IJ1HE","Incredible Wooden Computer","SUP00CB1D","Howell, Ward and Rowe"
"ZKQV-2OBCK17B","Handcrafted Plastic Pants","SUPC659DA","Stamm - Ryan"
"PPRR-OII3LFJE","Licensed Frozen Tuna","SUPEA966C","Dach LLC"
"MOMU-1FZBTDBK","Oriental Cotton Pizza","SUP629EF2","Streich LLC"
"BWVG-JRYFKH5Q","Generic Frozen Chicken","SUPC659DA","Stamm - Ryan"
"ETQR-4N226Y3A","Sleek Wooden Pants","SUP7594F9","Kutch - Padberg"
