material_code,material_name,supplier_code,supplier_name
"LEBN-Q5VT42NA","Gorgeous Bronze Chips","SUPF95CF6","Graham - Cormier"
"PXVU-TUX6RI7V","Handmade Steel Computer","SUPFA8B1D","Thompson, Ratke and Daugherty"
"HTIV-8WR83C8Y","Unbranded Soft Soap","SUPD38538","Willms, Jacobson and Miller"
"XHTJ-IOYPGCFN","Luxurious Rubber Tuna","SUP30C03F","Ferry - Rath"
"VOGA-G9ZK9090","Small Concrete Mouse","SUPFA8B1D","Thompson, Ratke and Daugherty"
"CBDZ-0LL3HS0D","Electronic Granite Gloves","SUP8DAB4D","Mosciski, Dibbert and Tromp"
"TNQV-2O4A4GYS","Modern Granite Soap","SUPD38538","Willms, Jacobson and Miller"
"EYRV-E7LT0C7T","Unbranded Concrete Chair","SUPFA8B1D","Thompson, Ratke and Daugherty"
"UUXU-PZ8GWFRP","Practical Metal Car","SUPF95CF6","Graham - Cormier"
"VVYJ-UTYSR7JY","Small Cotton Bacon","SUPD38538","Willms, Jacobson and Miller"
"XSYT-ZJTG77NC","Fantastic Wooden Computer","SUPD38538","Willms, Jacobson and Miller"
"JXGL-H26FK55A","Unbranded Wooden Table","SUPEDCC29","Jast, Hauck and O'Connell"
"PCOV-94P0XUWR","Modern Fresh Shirt","SUPD38538","Willms, Jacobson and Miller"
"VHHF-BF5FCDQA","Rustic Metal Shoes","SUPBBEA71","Bartell - McCullough"
"TICR-ERTBR088","Oriental Wooden Fish","SUPF95CF6","Graham - Cormier"
"YGUP-I9AZHFI3","Licensed Bronze Fish","SUPC35ECD","Rippin - Predovic"
"JBNJ-WQ7GL9XH","Incredible Wooden Car","SUPD2FC7E","Reynolds - Waters"
"YNUL-CU88PEUM","Modern Cotton Chair","SUPC35ECD","Rippin - Predovic"
"DXUF-AQ9SAUV3","Unbranded Granite Keyboard","SUPC35ECD","Rippin - Predovic"
"KSZB-ZIDG5C57","Handmade Rubber Hat","SUP30C03F","Ferry - Rath"
