material_code,material_name,supplier_code,supplier_name
"ZTXS-NGBBEY6D","Incredible Plastic Chair","SUP2B0DF0","Schoen Inc"
"LDIJ-KXGNJ56A","Modern Steel Keyboard","SUP2B0DF0","Schoen Inc"
"WXCK-9RBU6V9C","Fantastic Bronze Pants","SUPA2F54D","Rippin, Ebert and Berge"
"HXZJ-UGLAK25M","Oriental Metal Bike","SUP8ABA53","Bergnaum, Considine and Shanahan"
"WSUP-24UXLEUI","Electronic Metal Shoes","SUP8ABA53","Bergnaum, Considine and Shanahan"
"ZIFX-T95YE1YG","Ergonomic Metal Mouse","SUPC87C7A","Lynch - Sauer"
"OAZJ-1YDODC2K","Sleek Frozen Chair","SUPBAF001","Reichel - Orn"
"SCBV-290BEPAE","Luxurious Cotton Tuna","SUPA2F54D","Rippin, Ebert and Berge"
"TEWV-FATW98GI","Intelligent Fresh Pizza","SUPC87C7A","Lynch - Sauer"
"DCFX-XGQQZGBC","Sleek Plastic Bike","SUPBAF001","Reichel - Orn"
"OBGP-SS0VWYIM","Handmade Cotton Keyboard","SUP8ABA53","Bergnaum, Considine and Shanahan"
"VFHW-9EM3ZARC","Handmade Concrete Salad","SUPFECC02","Anderson, Dicki and Cummerata"
"SIWW-7F9DGC66","Sleek Plastic Table","SUPBAF001","Reichel - Orn"
"PNON-Z8NBTYGQ","Fantastic Soft Keyboard","SUPFECC02","Anderson, Dicki and Cummerata"
"KUNI-UX80UAWA","Licensed Fresh Bacon","SUP2B0DF0","Schoen Inc"
"GOBH-KEN1ZXRS","Intelligent Steel Pizza","SUPC87C7A","Lynch - Sauer"
"XSOZ-JK2WAU8D","Refined Steel Pants","SUPFECC02","Anderson, Dicki and Cummerata"
"YPQU-H1XR85IQ","Sleek Plastic Mouse","SUP8BB9D6","Cassin - Padberg"
"XSBG-CDJHH7IM","Fantastic Soft Table","SUP2B0DF0","Schoen Inc"
"DGOC-C7VAZKKJ","Luxurious Cotton Gloves","SUP5FD463","Runte and Sons"
